wmo,cycle,lat,lon,rel_delta
3902615,4,26.241,-37.535000000000025,0.2529345819683831
3902615,5,26.044,-37.40899999999999,0.7102231173515007
3902615,6,25.762,-37.33600000000001,0.5221110905372031
4903273,112,38.475,-66.75999999999999,0.8167635195596319
4903273,118,37.738,-61.339,0.7015104427103772
4903273,120,37.948,-59.91500000000002,0.4070731685833245
4903274,109,27.114,-74.32999999999998,0.3901718006684422
4903274,110,27.173,-74.09100000000001,0.7187784089946007
4903274,111,27.494,-73.993,0.647843640780512
4903274,112,28.001,-74.589,0.8548771708935755
4903274,113,28.735,-75.11000000000001,0.43160228596126327
4903274,119,29.346,-76.44299999999998,0.46552942536015873
4903274,121,28.39,-75.476,0.7139499703588585
4903274,122,28.414,-74.87900000000002,0.20444542891707185
4903274,125,28.445,-76.65300000000002,0.5742825772525728
4903274,136,23.662,-71.84199999999998,0.6333534487903043
4903274,138,23.0,-71.608,0.8270342413620171
4903274,139,22.367,-71.42000000000002,0.7661895682460289
4903274,140,22.172,-70.62099999999998,0.6993534214500695
4903274,141,23.079,-70.93,0.628755228350488
4903274,143,23.17,-69.37,0.5093102795590985
4903274,144,22.654,-69.29399999999998,0.7797788570062943
4903458,68,13.316,-58.291,0.6235886849755568
4903458,69,13.267,-57.696000000000026,-0.050760420367134226
4903458,70,13.077,-57.141999999999996,-0.8503434589262315
4903458,71,14.051,-56.93000000000001,0.6112466609378174
4903458,84,14.51,-55.07900000000001,-0.057890036260486895
4903458,85,14.021,-55.089999999999975,0.6620222272748123
4903459,51,4.406,-28.380999999999972,-203.3625180891868
4903459,75,3.016,-23.281000000000006,0.0010866288625710292
4903459,81,3.207,-24.48599999999999,-0.9151020788770162
4903462,56,7.713,-55.17599999999999,-0.3874233990838935
4903462,66,10.102,-53.23599999999999,0.07899534363545037
4903462,67,10.782,-53.16300000000001,0.2793268771978734
4903462,68,10.618,-52.98599999999999,0.4161536255224546
4903462,82,10.662,-51.06,-136.97609077878798
4903485,35,28.501,-16.067000000000007,-0.023991923116928063
4903485,37,28.198,-16.007000000000005,-0.7599105819204546
4903485,38,27.913,-16.494000000000028,0.44371713754661657
4903485,40,27.555,-16.99000000000001,0.8453515432837905
4903485,41,27.237,-17.101999999999975,0.4538271275758459
4903485,43,26.816,-16.795000000000016,0.5023096996890145
4903485,46,27.651,-17.25799999999998,-0.23066399793989495
4903485,47,27.799,-17.052999999999997,-89.39086092548206
4903485,53,26.184,-15.649000000000001,0.6041611731557421
4903485,63,25.616,-16.581999999999994,0.9998230071755347
4903485,67,26.063,-16.649,-0.43166305058231275
4903485,69,25.873,-16.778999999999996,0.1253197892514035
4903485,71,25.628,-16.548999999999978,0.18693601818088065
4903486,49,4.783,-19.59699999999998,0.999807334577424
4903486,62,4.927,-21.642999999999972,0.03911649357012406
4903487,37,25.341,-22.88900000000001,0.24222522654865655
4903487,41,25.517,-22.307999999999993,0.16855087462387658
4903487,47,26.061,-24.089,0.800193132521896
4903487,49,26.358,-24.649,0.6944386008984229
4903487,50,26.509,-24.75999999999999,0.35245903812204704
4903487,53,26.414,-24.25400000000002,0.4882050145893082
4903487,55,26.191,-24.267999999999972,0.9356731716080616
4903487,58,25.55,-23.514999999999986,0.4025779908384145
4903487,65,26.679,-23.713000000000022,0.6167731041036411
4903487,71,26.84,-22.911,0.5890795355707887
4903487,75,26.568,-22.706999999999994,0.029020957101317742
4903488,42,54.455,-16.821000000000026,0.6174231909940601
4903488,70,55.103,-25.011000000000024,0.2956827538933876
4903489,42,-2.217,-17.089999999999975,-0.6601037824380076
4903489,44,-2.636,-16.613999999999976,0.18611002021632228
4903489,72,-2.635,-16.50400000000002,-0.25584165794062425
4903489,74,-2.655,-17.165999999999997,0.7098523795603453
4903489,78,-3.314,-19.93599999999998,0.35310501663438676
4903533,35,41.488,-27.726999999999975,0.33329088884301017
4903533,37,41.134,-28.24200000000002,0.8661776413562589
4903533,43,40.865,-28.25,0.7787975664653253
4903533,44,41.144,-28.28800000000001,0.7363118829054739
4903533,45,41.204,-28.432999999999993,0.5143678264492555
4903533,46,41.094,-28.697000000000003,0.7448334900276525
4903533,47,41.071,-29.007000000000005,-0.18425795253872473
4903565,4,16.114,-49.32400000000001,0.7124731733089772
4903570,13,31.882,-65.34100000000001,0.2549285198864905
4903570,14,32.27,-65.25599999999997,0.26316821221596437
4903570,16,32.632,-64.839,-0.10112218437739275
4903570,17,32.675,-64.78899999999999,0.4971903218723055
4903570,19,32.568,-64.85399999999998,0.239551376677725
4903570,20,32.926,-64.47300000000001,0.6640553770972427
4903570,21,32.941,-65.21499999999997,0.7626546008541198
4903570,24,33.239,-65.64100000000002,-4.659231969497845
4903570,25,33.268,-67.80099999999999,0.5286668128304156
4903570,30,32.016,-66.32100000000003,0.8583682398112524
4903570,32,31.471,-67.03699999999998,0.6698800374266805
4903570,43,31.633,-68.70999999999998,0.7561077160095102
4903570,44,32.005,-68.32600000000002,0.23934378894480046
4903570,45,32.175,-67.719,0.4413346268108733
4903570,48,32.145,-66.54599999999999,0.7828170342177694
4903570,49,32.286,-66.75299999999999,0.4515133143507571
4903571,5,19.99,-22.78800000000001,0.6034802939901656
4903571,14,19.998,-23.13299999999998,0.14494397548111607
4903571,17,20.153,-23.944000000000017,0.4681317913686289
4903571,23,20.972,-26.687999999999988,-0.7802100334456139
4903571,28,22.27,-28.32299999999998,0.3117088580648302
4903571,32,20.632,-28.754999999999995,0.7225740649096265
4903571,34,20.311,-28.76400000000001,0.5169549141649246
4903571,38,20.241,-28.899999999999977,0.7098380211365201
4903587,99,32.848,-155.995,0.8216837714727842
4903747,31,-26.227,108.80599999999998,0.5815822510688289
4903830,5,26.97,-35.94,0.8101677116363036
4903831,1,-19.892,8.197000000000003,-0.4403032388763442
5906026,115,53.889,-137.834,-0.40530973643651313
5906036,216,-31.864,49.03800000000001,0.6928207515015752
5906304,127,-33.862,-166.957,0.6280510796229203
5906304,135,-35.38,-168.318,0.030537833458118297
5906304,141,-32.012,-171.844,0.7056254929920569
5906305,127,-30.61,-80.36900000000003,0.8433451134586674
5906305,140,-30.584,-80.233,0.6085714152957322
5906305,149,-29.464,-80.41199999999998,-0.22511435990608314
5906305,151,-29.336,-80.23500000000001,0.6241190072903339
5906305,155,-29.293,-80.11200000000002,0.6509366825636218
5906305,159,-29.255,-79.798,0.8300287830428408
5906306,135,-37.299,-87.344,0.6150682121603921
5906307,152,-38.241,-152.47,0.18080025079476716
