wmo,profile,file,bbp700_top20m_median,n_values_used
1902496,45,1902496QC.nc,0.000708,10
1902496,22,1902496QC.nc,0.0007215,10
1902496,40,1902496QC.nc,0.000532,10
1902497,5,1902497QC.nc,0.0005955,10
1902497,41,1902497QC.nc,0.000411,10
1902497,6,1902497QC.nc,0.0005369999999999999,10
1902499,17,1902499QC.nc,0.0011654999999999999,10
1902499,43,1902499QC.nc,0.0006180000000000001,10
1902499,47,1902499QC.nc,0.00168,10
1902500,41,1902500QC.nc,0.0006100000000000001,10
1902500,36,1902500QC.nc,0.00059,10
1902500,45,1902500QC.nc,0.000567,10
1902500,35,1902500QC.nc,0.0005945,10
1902500,12,1902500QC.nc,0.000486,10
1902500,39,1902500QC.nc,0.0006405,10
1902500,33,1902500QC.nc,0.000485,10
1902500,10,1902500QC.nc,0.000511,10
1902500,37,1902500QC.nc,0.0006895,10
1902500,46,1902500QC.nc,0.000533,10
1902500,14,1902500QC.nc,0.000526,10
1902501,29,1902501QC.nc,0.0014135,10
1902501,37,1902501QC.nc,0.0009910000000000001,10
1902644,23,1902644QC.nc,0.000791,10
1902644,32,1902644QC.nc,0.002908,10
1902644,36,1902644QC.nc,0.001049,9
1902644,40,1902644QC.nc,0.0016094999999999998,10
1902644,17,1902644QC.nc,0.000841,10
1902644,16,1902644QC.nc,0.00127,10
1902644,19,1902644QC.nc,0.0009755,10
1902652,3,1902652QC.nc,0.000553,10
1902652,6,1902652QC.nc,0.0007285,10
1902652,1,1902652QC.nc,0.0006195,10
1902652,0,1902652QC.nc,0.000792,10
1902722,2,1902722QC.nc,0.000565,10
1902722,0,1902722QC.nc,0.0005835,10
1902742,1,1902742QC.nc,0.000946,9
1902742,10,1902742QC.nc,0.00051,9
1902742,5,1902742QC.nc,0.000818,9
1902742,3,1902742QC.nc,0.000804,9
1902742,12,1902742QC.nc,0.000548,9
1902742,7,1902742QC.nc,0.000579,9
1902742,2,1902742QC.nc,0.000853,9
2903439,0,2903439QC.nc,0.001033,10
2903439,15,2903439QC.nc,0.000691,10
2903440,9,2903440QC.nc,0.0008179999999999999,10
2903440,8,2903440QC.nc,0.0007165,10
2903441,13,2903441QC.nc,0.0008665000000000001,10
2903442,8,2903442QC.nc,0.0030334999999999997,10
2903442,12,2903442QC.nc,0.00112,10
2903442,16,2903442QC.nc,0.001425,10
2903442,6,2903442QC.nc,0.0036065000000000003,10
2903442,15,2903442QC.nc,0.0014954999999999999,10
2903442,10,2903442QC.nc,0.001227,10
2903442,5,2903442QC.nc,0.0035735000000000003,10
2903451,57,2903451QC.nc,0.00037,10
2903451,75,2903451QC.nc,0.000488,10
2903451,56,2903451QC.nc,0.0003845,10
2903451,60,2903451QC.nc,0.000581,10
2903451,41,2903451QC.nc,0.00044050000000000003,10
2903459,53,2903459QC.nc,0.000941,10
2903459,71,2903459QC.nc,0.00073,10
2903459,38,2903459QC.nc,0.0006640000000000001,10
2903459,60,2903459QC.nc,0.001862,10
2903459,69,2903459QC.nc,0.000704,10
2903459,64,2903459QC.nc,0.0006495,10
2903459,73,2903459QC.nc,0.0008114999999999999,10
2903459,41,2903459QC.nc,0.000939,10
2903459,36,2903459QC.nc,0.0007515,10
2903459,54,2903459QC.nc,0.000809,10
2903461,58,2903461QC.nc,0.0012000000000000001,10
2903461,67,2903461QC.nc,0.0009215,10
2903461,39,2903461QC.nc,0.0007030000000000001,10
